City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,56.34,94,100,11.5,ZA,1698515706
1,yellowknife,62.456,-114.3525,33.42,94,40,13.8,CA,1698515599
2,nova sintra,14.8667,-24.7167,75.54,76,43,15.57,CV,1698515707
3,port-aux-francais,-49.35,70.2167,41.25,98,100,18.34,TF,1698515707
4,caaguazu,-25.45,-56.0167,77.43,90,99,6.85,PY,1698515707
5,sabha,27.0377,14.4283,79.95,18,42,5.66,LY,1698515707
6,laojunmiao,39.8333,97.7333,43.75,35,64,0.31,CN,1698515707
7,ushuaia,-54.8,-68.3,44.26,45,0,11.5,AR,1698515707
8,waitangi,-43.9535,-176.5597,48.81,85,38,8.01,NZ,1698515708
9,blackmans bay,-43.0167,147.3167,49.73,75,66,3.0,AU,1698515708
10,grytviken,-54.2811,-36.5092,30.96,97,100,3.67,GS,1698515708
11,san vicente de canete,-13.0751,-76.3835,70.47,76,68,9.82,PE,1698515708
12,praia da vitoria,38.7333,-27.0667,66.45,59,20,20.02,PT,1698515708
13,badger,64.8,-147.5333,13.35,83,20,0.0,US,1698515708
14,saint-francois,46.4154,3.9054,60.66,64,0,10.36,FR,1698515708
15,adamstown,-25.066,-130.1015,72.77,81,94,12.93,PN,1698515708
16,susuman,62.7833,148.1667,0.99,99,95,1.01,RU,1698515709
17,san antonio de pale,-1.4014,5.6325,79.38,78,10,8.48,GQ,1698515709
18,haiku-pauwela,20.9219,-156.3051,75.04,81,40,8.05,US,1698515709
19,tromso,69.6496,18.957,28.42,74,0,3.44,NO,1698515709
20,porto franco,-6.3383,-47.3992,100.92,26,48,8.61,BR,1698515709
21,zheshart,62.0731,49.5733,23.59,84,97,9.15,RU,1698515709
22,afaahiti,-17.75,-149.2833,78.67,78,100,5.12,PF,1698515709
23,anadyr,64.75,177.4833,34.3,100,100,11.18,RU,1698515709
24,edinburgh of the seven seas,-37.0676,-12.3116,57.51,91,100,17.96,SH,1698515709
25,pont rouge,48.8833,-72.0825,44.89,64,89,15.55,CA,1698515710
26,stanley,54.868,-1.6985,48.22,95,75,9.22,GB,1698515710
27,kone,-21.0595,164.8658,68.61,87,51,6.93,NC,1698515710
28,gonzaga,44.9498,10.8209,64.69,67,63,5.26,IT,1698515710
29,missoula,47.0166,-113.8009,12.6,52,31,2.35,US,1698515710
30,newman,37.3138,-121.0208,61.03,35,38,11.01,US,1698515710
31,alesund,62.4723,6.1549,40.75,72,0,10.36,NO,1698515710
32,newport,51.5877,-2.9984,54.45,91,94,9.4,GB,1698515710
33,linxia chengguanzhen,35.6003,103.2064,48.88,44,3,2.8,CN,1698515711
34,okulovka,58.4008,33.2908,32.56,99,100,1.23,RU,1698515711
35,juneau,58.3019,-134.4197,37.09,97,75,0.0,US,1698515705
36,margaret river,-33.95,115.0667,58.35,80,93,12.84,AU,1698515663
37,wailua homesteads,22.0669,-159.378,75.63,80,0,9.22,US,1698515711
38,atasu,48.6814,71.6433,38.25,92,100,9.31,KZ,1698515711
39,vredendal,-31.6683,18.5012,66.61,35,0,9.08,ZA,1698515712
40,invercargill,-46.4,168.35,40.01,94,50,3.0,NZ,1698515712
41,hawaiian paradise park,19.5933,-154.9731,76.89,82,40,5.75,US,1698515712
42,flying fish cove,-10.4217,105.6791,78.48,83,75,9.22,CX,1698515712
43,petropavlovsk-kamchatsky,53.0452,158.6483,37.45,59,0,8.95,RU,1698515712
44,fort bragg,35.139,-79.006,84.81,50,0,5.01,US,1698515713
45,tiksi,71.6872,128.8694,12.02,91,100,6.76,RU,1698515713
46,tan-tan,28.438,-11.1032,73.35,68,40,18.41,MA,1698515713
47,talnakh,69.4865,88.3972,4.21,92,77,1.81,RU,1698515713
48,port mathurin,-19.6833,63.4167,76.24,79,6,8.48,MU,1698515713
49,larkird,35.4894,66.6641,58.98,56,68,2.01,AF,1698515713
50,ocean city,39.2776,-74.5746,82.18,59,0,5.01,US,1698515677
51,lompoc,34.6391,-120.4579,71.02,66,0,12.66,US,1698515640
52,hadibu,12.65,54.0333,79.16,77,88,8.14,YE,1698515714
53,iqaluit,63.7506,-68.5145,13.73,78,20,9.22,CA,1698515714
54,longyearbyen,78.2186,15.6401,24.64,93,75,8.05,SJ,1698515714
55,olonkinbyen,70.9221,-8.7187,30.43,74,98,7.02,SJ,1698515714
56,bethel,41.3712,-73.414,81.63,59,0,11.5,US,1698515508
57,sandnessjoen,66.0217,12.6316,28.92,96,85,11.3,NO,1698515714
58,puerto ayora,-0.7393,-90.3518,82.36,85,99,11.99,EC,1698515714
59,lebu,-37.6167,-73.65,53.33,88,100,22.01,CL,1698515715
60,la passe,45.5549,-0.8967,64.63,67,100,24.92,FR,1698515715
61,carnarvon,-24.8667,113.6333,67.62,69,4,23.8,AU,1698515715
62,queenstown,-31.8976,26.8753,48.27,76,100,8.88,ZA,1698515715
63,chonchi,-42.6128,-73.8092,49.21,76,71,14.45,CL,1698515715
64,bredasdorp,-34.5322,20.0403,56.35,56,85,12.53,ZA,1698515715
65,salmon arm,50.6998,-119.3024,33.31,70,1,1.14,CA,1698515715
66,georgetown,5.4112,100.3354,80.94,97,20,5.01,MY,1698515716
67,prince rupert,54.3161,-130.3201,42.49,81,0,2.3,CA,1698515716
68,bubaque,11.2833,-15.8333,82.06,76,57,8.97,GW,1698515716
69,kittila,67.6647,24.8936,23.14,93,100,3.44,FI,1698515716
70,arkalyk,50.2486,66.9114,39.83,96,100,12.21,KZ,1698515716
71,tougan,13.0667,-3.0667,90.75,23,89,7.29,BF,1698515717
72,kilju,40.9642,129.3278,41.31,64,6,3.8,KP,1698515717
73,crane,31.3974,-102.3501,74.05,71,95,20.49,US,1698515717
74,tofol,5.3248,163.0078,82.81,71,7,6.2,FM,1698515717
75,pocone,-16.2567,-56.6228,98.62,32,90,8.61,BR,1698515717
76,cascais,38.6979,-9.4215,68.95,83,20,18.99,PT,1698515717
77,richards bay,-28.783,32.0377,67.21,90,100,13.33,ZA,1698515718
78,papatowai,-46.5619,169.4708,40.86,90,34,5.88,NZ,1698515718
79,the pinery,39.4553,-104.7344,33.1,80,100,11.5,US,1698515441
80,dunedin,-45.8742,170.5036,46.8,72,52,3.96,NZ,1698515576
81,iglino,54.8324,56.4126,33.89,92,100,9.44,RU,1698515718
82,matane,48.8286,-67.522,51.8,78,86,22.1,CA,1698515633
83,kyzylorda,44.8528,65.5092,57.22,72,75,6.71,KZ,1698515718
84,northam,51.0333,-4.2167,53.65,90,79,10.92,GB,1698515718
85,sisimiut,66.9395,-53.6735,24.44,81,89,11.54,GL,1698515719
86,adrar,20.5022,-10.0711,90.23,10,0,4.5,MR,1698515719
87,kaa-khem,51.6833,94.7333,25.41,39,3,4.41,RU,1698515719
88,ta`u,-14.2336,-169.5144,79.41,85,54,17.0,AS,1698515719
89,fada,9.5667,8.3,76.1,64,34,2.15,NG,1698515719
90,hithadhoo,-0.6,73.0833,80.87,83,67,19.01,MV,1698515719
91,cabo san lucas,22.8909,-109.9124,83.61,66,0,5.91,MX,1698515635
92,kachug,53.9606,105.8817,24.04,66,4,3.0,RU,1698515720
93,ghat,24.9647,10.1728,86.22,16,21,4.99,LY,1698515720
94,dryden,49.7833,-92.7503,28.69,86,100,10.36,CA,1698515530
95,geraldton,-28.7667,114.6,59.41,77,1,14.97,AU,1698515720
96,tura,25.5198,90.2201,66.7,78,0,3.76,IN,1698515720
97,wanning,18.8003,110.3967,77.81,90,75,4.54,CN,1698515720
98,port lincoln,-34.7333,135.8667,49.62,77,22,2.08,AU,1698515721
99,jose maria morelos,23.3952,-103.8984,70.34,58,25,5.91,MX,1698515721
100,puerto natales,-51.7236,-72.4875,41.45,70,75,5.75,CL,1698515721
101,thompson,55.7435,-97.8558,24.96,100,100,5.75,CA,1698515721
102,bilibino,68.0546,166.4372,-7.89,98,58,2.01,RU,1698515721
103,ciudad lazaro cardenas,17.9583,-102.2,85.1,67,98,2.64,MX,1698515721
104,pemangkat,1.1667,108.9667,77.59,87,100,5.57,ID,1698515721
105,isafjordur,66.0755,-23.124,37.44,81,20,3.44,IS,1698515721
106,bandon,51.7469,-8.7425,51.39,91,100,7.05,IE,1698515722
107,ceres,37.5949,-120.9577,61.02,60,0,14.97,US,1698515722
108,nelson bay,-32.7167,152.15,57.0,92,70,5.01,AU,1698515722
109,college,64.8569,-147.8028,13.44,83,75,0.0,US,1698515722
110,bodaybo,57.8506,114.1933,23.85,63,100,7.58,RU,1698515722
111,west island,-12.1568,96.8225,78.78,73,100,20.71,CC,1698515722
112,port alfred,-33.5906,26.891,54.18,94,88,5.01,ZA,1698515722
113,kiunga,-6.1219,141.2906,73.45,97,100,0.92,PG,1698515723
114,berezovyy,51.6667,135.7,30.02,60,51,1.39,RU,1698515723
115,vila franca do campo,37.7167,-25.4333,66.88,99,93,11.97,PT,1698515574
116,blagoveshchenka,52.8333,79.8667,29.14,58,97,7.54,RU,1698515723
117,le port,-20.9373,55.2919,77.0,97,23,2.66,RE,1698515723
118,lazaro cardenas,17.9583,-102.2,85.1,67,98,2.64,MX,1698515721
119,taoudenni,22.6783,-3.9836,95.16,10,0,6.67,ML,1698515723
120,inyonga,-6.7167,32.0667,77.27,39,79,2.93,TZ,1698515723
121,mount pearl,47.5166,-52.7813,57.72,98,100,14.97,CA,1698515724
122,tolanaro,-25.0319,46.9987,77.07,78,40,21.85,MG,1698515724
123,margate,51.3813,1.3862,55.69,85,84,10.0,GB,1698515724
124,sidareja,-7.4846,108.7923,74.91,93,34,0.76,ID,1698515724
125,timmins,48.4669,-81.3331,31.82,59,75,12.66,CA,1698515724
126,bundaberg north,-24.8551,152.3425,57.22,93,0,1.99,AU,1698515724
127,dongola,19.1667,30.4833,89.28,18,11,10.51,SD,1698515724
128,qaqortoq,60.7167,-46.0333,33.44,77,20,1.63,GL,1698515724
129,albany,42.6001,-73.9662,73.94,86,49,11.83,US,1698515282
130,an muileann gcearr,53.5333,-7.35,50.68,95,91,7.99,IE,1698515712
131,saldanha,-33.0117,17.9442,60.85,62,0,26.53,ZA,1698515725
132,amungan,15.3652,119.9582,79.21,80,67,5.64,PH,1698515725
133,ati,13.2154,18.3353,93.02,16,7,7.14,TD,1698515725
134,whangarei,-35.7317,174.3239,54.68,77,100,15.75,NZ,1698515725
135,saipan,15.1355,145.701,81.3,94,75,4.61,MP,1698515725
